straw, date/time, co2, worker, chamber, leakRate, errorstraw, date/time, co2, worker, chamber, leakrate, error, comments, , 
err5_04,  3/26/2018 11:17,  co2,  ambrose,  chamber31, 5.58e-05, 2.54e-06,  ,  , 
err5_04,  3/26/2018 17:59,  co2,  jacob,  chamber31, 0.000236851, 9.67e-06,  ,  , 
err4_04,  3/26/2018 17:59,  co2,  jacob,  chamber30, 0.000198322, 1.37e-05,  ,  , 
bdg_cha,  3/26/2018 18:01,  co2,  unknown worker,  chamber30, 0, 0,  ,  , 
bkg30_2,  3/27/2018 9:59,  co2,  caleb,  chamber30, 3.94e-06, 2.22e-06,  ,  , 
bkg31_2,  3/27/2018 9:59,  co2,  caleb,  chamber31, 1.01e-06, 2.57e-06,  ,  , 
err4_04,  3/27/2018 13:15,  co2,  caleb,  chamber30, 2.06e-06, 2.06e-06,  ,  , 
err5_04,  3/27/2018 13:15,  co2,  caleb,  chamber31, 0.000132494, 3.93e-06,  ,  , 
err3_03,  3/27/2018 13:16,  co2,  caleb,  chamber25, 0.000103891, 5.90e-06,  ,  , 
err1_03,  3/27/2018 13:16,  co2,  caleb,  chamber27, 9.34e-05, 4.31e-06,  ,  , 
err2_03,  3/27/2018 13:16,  co2,  caleb,  chamber28, 4.01e-05, 2.25e-06,  ,  , 
bkg_2_c,  3/27/2018 16:11,  co2,  jacob,  chamber10, 0, 0,  ,  , 
err5_04,  3/28/2018 8:07,  co2,  jacob,  chamber31, 0.00017349, 4.31e-06,  ,  , 
err4_04,  3/28/2018 8:07,  co2,  jacob,  chamber30, 0.000130856, 8.12e-06,  ,  , 
bkg32_2,  3/28/2018 9:28,  co2,  caleb,  chamber32, 1.24e-07, 2.39e-06,  ,  , 
err1_04,  3/28/2018 9:29,  co2,  caleb,  chamber27, 8.97e-05, 7.98e-06,  ,  , 
err2_04,  3/28/2018 9:29,  co2,  caleb,  chamber28, 5.00e-05, 6.75e-06,  ,  , 
err3_04,  3/28/2018 9:29,  co2,  caleb,  chamber25, 9.75e-05, 8.62e-06,  ,  , 
bkg33_2,  3/28/2018 12:08,  co2,  unknown worker,  chamber33, 5.37e-07, 2.54e-06,  ,  , 
err4_05,  3/28/2018 13:50,  co2,  ambrose,  chamber32, 0.000239165, 1.22e-05,  ,  , 
err5_05,  3/28/2018 13:50,  co2,  ambrose,  chamber33, 0.000252283, 9.50e-06,  ,  , 
bkg34_2,  3/28/2018 13:51,  co2,  ambrose,  chamber34, 1.27e-06, 2.58e-06,  ,  , 
bkg35_2,  3/28/2018 15:26,  co2,  ambrose,  chamber35, -1.52e-08, 2.41e-06,  ,  , 
bkg36_2,  3/28/2018 15:38,  co2,  ambrose,  chamber36, -6.05e-07, 2.67e-06,  ,  , 
err4_52,  3/28/2018 15:41,  co2,  ambrose,  chamber34, 0, 0,  ,  , 
bkg30_3,  3/29/2018 11:38,  co2,  ambrose,  chamber30, 5.36e-06, 2.09e-06,  ,  , 
bkg31_3,  3/29/2018 11:39,  co2,  ambrose,  chamber31, 3.32e-06, 2.27e-06,  ,  , 
bkg25_3,  3/29/2018 11:39,  co2,  ambrose,  chamber25, 2.59e-06, 2.27e-06,  ,  , 
bkg27_3,  3/29/2018 11:39,  co2,  ambrose,  chamber27, 4.39e-06, 2.37e-06,  ,  , 
bkg28_3,  3/29/2018 11:39,  co2,  ambrose,  chamber28, 3.18e-06, 2.26e-06,  ,  , 
bkg32_3,  3/30/2018 9:31,  co2,  caleb,  chamber32, 2.36e-06, 2.08e-06,  ,  , 
bkg36_3,  3/30/2018 11:38,  co2,  caleb,  chamber36, 2.27e-06, 2.22e-06,  ,  , 
bkg37_2,  3/30/2018 11:38,  co2,  caleb,  chamber37, 4.25e-07, 2.29e-06,  ,  , 
bkg38_2,  3/30/2018 13:30,  co2,  caleb,  chamber38, 2.61e-07, 2.45e-06,  ,  , 
bkg39_2,  3/30/2018 14:40,  co2,  caleb,  chamber39, 1.41e-06, 2.32e-06,  ,  , 
bkg40_2,  3/30/2018 16:57,  co2,  caleb,  chamber40, 3.36e-07, 2.19e-06,  ,  , 
bkg0_2_,  3/30/2018 17:02,  co2,  caleb,  chamber0, -9.13e-07, 2.09e-06,  ,  , 
bkg1_2_,  3/30/2018 17:02,  co2,  caleb,  chamber1, -8.24e-07, 2.63e-06,  ,  , 
