Position,StrawLength(in),x_middle,y_middle
2,47.20393425,10.418,1.418
6,46.56649667,10.912,1.7533
10,45.89926776,11.406,2.0984
14,45.20091859,11.9,2.4427
18,44.46997954,12.394,2.8169
22,43.70480899,12.888,3.2156
26,42.90356208,13.382,3.6198
30,42.06415943,13.876,4.0397
34,41.18427154,14.37,4.4915
38,40.26120927,14.864,4.9521
42,39.29193174,15.358,5.453
46,38.27289776,15.852,5.9824
50,37.19999549,16.346,6.5335
54,36.06837826,16.84,7.1073
58,34.87230825,17.334,7.7255
62,33.60485161,17.828,8.383
66,32.25753451,18.322,9.0719
70,30.81980372,18.816,9.8176
74,29.27825275,19.31,10.6219
78,27.61534764,19.804,11.4661
82,25.80742574,20.298,12.4246
86,23.82119361,20.792,13.4574
90,21.60701205,21.286,14.6191
94,20.10099806,21.81,15.1826
