Position,x_middle,y_middle
1,10.418,15.861
2,10.912,15.5526
3,11.406,15.2296
4,11.9,14.8806
5,12.394,14.5289
6,12.888,14.1631
7,13.382,13.7655
8,13.876,13.3499
9,14.37,12.9256
10,14.864,12.4666
11,15.358,11.9987
12,15.852,11.5058
13,16.346,10.9803
14,16.84,10.428
15,17.334,9.8502
16,17.828,9.236
17,18.322,8.5758
18,18.816,7.8786
19,19.31,7.1399
20,19.804,6.3301
21,20.298,5.4738
22,20.792,4.5275
23,21.286,3.481
24,21.81,2.5376
